"","Condition","mean_DA","sd_DA","CV_DA","mean_Dens","sd_Dens","CV_Dens","KS_norm","RaoQE_DA","DIV_DA","TIME"
"siCtrl_0","siCtrl",0.305263565891473,0.0718535478586902,23.5381997353184,1.1875988372093,0.20498262279796,17.2602579571096,0.0443501988453853,0.0399868034732639,0,0
"siCtrl_15","siCtrl",0.490628424657534,0.098722199492529,20.121581737022,1.83398801369863,0.468084584497003,25.5227722864453,0.032062037529814,0.0559564378220022,2.77555756156289e-16,15
"siCtrl_30","siCtrl",0.553296089385475,0.088693336912407,16.0299952618345,2.15099162011173,0.560593776051662,26.0621087878781,0.0519569024587429,0.0490534376668629,0.0400549952952343,30
"siCtrl_45","siCtrl",0.529498746867168,0.0837761214062552,15.8217789752903,1.94014411027569,0.472038185123782,24.3300578871281,0.0189465129736777,0.0473914547189299,1.11022302462516e-16,45
"siCtrl_60","siCtrl",0.442023631840796,0.0909298893150821,20.5712732906173,1.595157960199,0.387039932067755,24.2634235433003,0.0184517867090273,0.051264121210436,4.44089209850063e-16,60
"siCtrl_75","siCtrl",0.3817703125,0.0931211978538187,24.3919432194767,1.3714515625,0.375099566330183,27.3505515314314,0.0509820256877633,0.052246152060016,5.55111512312578e-17,75
"siCtrl_90","siCtrl",0.369432679738562,0.0972688411808645,26.3292465760471,1.33639477124183,0.374221591372096,28.0023238211531,0.0614249762625269,0.0549220894464781,0.061368468479147,90
"siCtrl_105","siCtrl",0.391450928381963,0.100487118255983,25.6704253254272,1.41210610079576,0.3786521449761,26.8147092320273,0.0491272301886408,0.0570762164104739,0.0703750585585499,105
"siCtrl_120","siCtrl",0.438775244299674,0.0977567392628791,22.2794564034504,1.65252117263844,0.446231483729442,27.0030721008544,0.0285711129240479,0.0553406059152459,4.44089209850063e-16,120
"siCtrl_135","siCtrl",0.460393850658858,0.100222692320511,21.7689033372372,1.7751420204978,0.459268992704538,25.8722393702192,0.0334831617072316,0.0568426386970131,3.88578058618805e-16,135
"siCtrl_150","siCtrl",0.478366766467066,0.0993082305299911,20.7598515388983,1.7857005988024,0.438833980621791,24.5748912732684,0.0535143720785116,0.0559665889995151,0.0602323708819464,150
"siCtrl_165","siCtrl",0.452671703296703,0.0916900806525965,20.2553152726002,1.6813489010989,0.40709652539559,24.2124954035131,0.022245605311485,0.0517535530569292,4.44089209850063e-16,165
"siCtrl_180","siCtrl",0.425290462427746,0.096927506718609,22.7908959362277,1.61875289017341,0.387784241008899,23.955740456924,0.0198489795058413,0.054800060465952,5.55111512312578e-17,180
"siCtrl_195","siCtrl",0.410313669064748,0.0936214680495143,22.8170482993928,1.52397122302158,0.3956616488631,25.962540688834,0.0277630415972008,0.0531307810840178,1.11022302462516e-16,195
