"rep1"	"rep2"	"score"	"rep1rmsd"	"rep2rmsd"
"ABAT"	62	74	5.87028713551008	0.228	0.22
"ABTB2"	50	50	5.56026574051633	0.192	0.153
"AOX1"	78	78	5.82462394674779	0.296	0.256
"APOL2"	10	10	5.84676588570761	0.375	0.315
"ARID5B"	13	13	6.17644278848769	0.283	0.243
"B4GALT5"	88	88	5.72964833421544	0.119	0.094
"BAZ1A"	81	87	6.00089047855075	0.356	0.35
"CHST15"	97	97	5.94602574648757	0.174	0.141
"CLK4"	18	18	5.71262035721771	0.352	0.314
"CREBZF"	37	37	6.02097059120492	0.287	0.282
"CRIM1"	13	11	5.81557878864716	0.19	0.179
"DAXX"	84	84	5.80574778378106	0.301	0.277
"DDX58"	2	25	6.0668760530265	0.351	0.321
"DRAM1"	44	44	5.85904483494788	0.198	0.18
"EFEMP1"	10	10	5.76306967375138	0.221	0.199
"FAM117A"	51	51	5.50197655865518	0.283	0.217
"FGD6"	18	18	7.09414054189119	0.166	0.155
"FOXO1"	96	96	5.79710955925583	0.178	0.167
"HIVEP2"	73	73	5.89438098362932	0.293	0.247
"HMGCR"	20	20	5.747	0.437	0.31
"IER5L"	80	80	6.13134898866788	0.515	0.473
"IFNGR2"	74	74	5.68324521567927	0.163	0.157
"IL6ST"	21	21	5.71160747213144	0.308	0.252
"IRF2"	50	50	5.93566482046434	0.262	0.234
"ITGB8"	12	12	5.8835813690228	0.24	0.219
"KLHL5"	96	96	5.74513099435996	0.154	0.142
"KYNU"	97	97	5.7048238210484	0.2	0.185
"LAMC2"	33	33	5.5745333379448	0.189	0.157
"LINC00052"	14	14	6.19423505307378	0.546	0.507
"LINC02015"	33	33	5.75512119686296	0.313	0.259
"LTB"	18	18	5.8482393701911	0.258	0.212
"MGAT4A"	41	41	5.80327156445921	0.22	0.222
"NFATC2"	95	96	5.8144251880157	0.167	0.128
"NFKB1"	23	22	5.5886215892843	0.18	0.138
"NFKB2"	97	45	5.74460097877293	0.227	0.187
"OPTN"	51	51	5.80480241794205	0.315	0.258
"PHF23"	70	70	6.01433823829599	0.379	0.354
"PHLDB2"	65	65	6.10569267325094	0.282	0.247
"PLEKHG3"	56	56	6.40867104963995	0.273	0.248
"PPP1R18"	12	12	5.7558027757559	0.318	0.264
"PRKAR2B"	78	78	5.79397096025503	0.249	0.211
"RAB3IP"	78	78	5.67373627459986	0.216	0.202
"RBM25"	40	41	5.7656024416095	0.218	0.205
"RELB"	16	16	5.8865693247496	0.241	0.197
"RFX5"	78	78	5.63486593448663	0.143	0.136
"RSRC2"	78	78	6.26016873481575	0.362	0.344
"RUNX2"	49	49	6.09853992872797	0.346	0.345
"SEMA3C"	14	14	6.22201047106487	0.241	0.212
"SEMA4B"	55	55	5.91275721825869	0.176	0.171
"SERPINB8"	11	11	6.14726602660685	0.353	0.31
"SGPP2"	58	58	6.06763886619248	0.149	0.154
"SLC6A14"	75	75	5.941	0.496	0.445
"STAT5A"	16	16	5.89885991595451	0.139	0.137
"TAP1"	78	78	5.66523446643448	0.308	0.269
"TBC1D9"	75	75	5.96017914980614	0.331	0.302
"TNFAIP2"	97	97	5.82635620990988	0.221	0.171
"TRAF3"	68	43	6.74709976288306	0.256	0.233
"TRIP10"	50	52	5.67179245262552	0.199	0.182
"TUBD1"	87	41	6.01002342295236	0.293	0.292
"VDR"	21	21	5.94312746003278	0.136	0.148
