RAB9A	chrX	13688625	13689625	+
RBM3	chrX	48573949	48574949	+
PCNA	chr20	5126126	5127126	-
SDC4	chr20	45347924	45348924	-
CLIC4	chr1	24744857	24745857	+
S100A9	chr1	153357354	153358354	+
ATP1B1	chr1	169105197	169106197	+
NEDD9	chr6	11381848	11382848	-
NFKBIE	chr6	44265288	44266288	-
ADGRF4	chr6	47685364	47686364	+
NCOA7	chr6	125780661	125781661	+
ADGRG6	chr6	142301354	142302354	+
NMD3	chr3	161104196	161105196	+
SPTSSB	chr3	161372380	161373380	-
AMIGO2	chr12	47079451	47080451	-
TXNRD1	chr12	104215279	104216279	+
FNBP4	chr11	47766943	47767943	-
BIRC3	chr11	102316950	102317950	+
AREG	chr4	74444634	74445634	+
TET2	chr4	105145375	105146375	+
VMP1	chr17	59706692	59707692	+
REL	chr2	60881021	60882021	+
BCL2L11	chr2	111118878	111119878	+
LYPD6B	chr2	149037607	149038607	+
ITGAV	chr2	186589565	186590565	+
IL17C	chr16	88638091	88639091	+
NKX3_1	chr8	23682427	23683427	-
SDCBP	chr8	58552424	58553424	+
TNFRSF11B	chr8	118951700	118952700	-
TICAM1	chr19	4831204	4832204	-
ICAM1	chr19	10270335	10271335	+
ITPKC	chr19	40716603	40717603	+
BCL3	chr19	44747205	44748205	+
PLPP6	chr9	4661815	4662815	+
CDKN2B	chr9	22008863	22009863	-
BAG1	chr9	33264220	33265220	-
ANKRD18B	chr9	33523894	33524894	+
EIF5	chr14	103333044	103334044	+
ANKRD33B	chr5	10563830	10564830	+
BID	chr22	17774270	17775270	-
MAFF	chr22	38200267	38201267	+
AKR1C2	chr10	5017531	5018531	-
FAM107B	chr10	14774397	14775397	-
ANXA8	chr10	47483658	47484658	-
PLAU	chr10	73908677	73909677	+
RHOV	chr15	40873789	40874789	-
DMXL2	chr15	51622333	51623333	-
ETS2	chr21	38804807	38805807	+
